Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
428576053.0,462697149.0,30.924,10.588,8.0,15.1800003051758,63.3199996948242,76.1699981689453,11.5900001525879,5.59899997711182,270105341879.226,-0.527850784016692,-4109941024.36518,73828482315.4666,290.899579857445,57.6047933357271,55.0634924018219,1991,India
420020420.0,453257379.0,31.517,10.864,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,320979026419.633,3.61759757275249,-4203693901.99738,86331925636.2927,272.063483432263,58.652858348278,53.7639597347536,1990,India
411482898.0,443851777.0,32.121,11.135,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,296042354986.126,3.72585086439818,-3439480507.00979,79688512801.3293,257.039737106414,46.84363185333157,52.8142022603434,1989,India
402975463.0,434493475.0,32.726,11.398,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,296588994812.059,5.62167256696917,-3105680161.91535,82992211449.7807,240.025618717336,46.84363185333157,51.2490485647204,1988,India
394498850.0,425183245.0,33.32,11.649,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,279033584092.159,2.43773799520245,-2019508809.80838,75015584849.83,220.22074301867,46.84363185333157,49.6834491458036,1987,India
386054080.0,415921170.0,33.89,11.888,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,248985994044.2,2.01482979643193,-1411645094.43554,68393366637.7789,207.976493040153,46.84363185333157,48.253001768131,1986,India
377646920.0,406713092.0,34.418,12.117,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,232511877842.041,1.89920134232287,-1167731707.71569,66580437366.9865,193.534853482561,46.84363185333157,47.2255730197849,1985,India
369276873.0,397556538.0,34.886,12.337,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,212158234164.06,0.521718930899809,-1197967493.35397,63958902685.6631,183.301872328043,46.84363185333157,45.1745737322241,1984,India
360959428.0,388469530.0,35.289,12.558,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,218262273410.099,6.01745723983127,-915429446.960367,68368791476.2066,165.687486017854,46.84363185333157,43.851836372075,1983,India
352736215.0,379503283.0,35.631,12.786,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,200715145360.918,-0.883583675707982,-658475535.660501,61359563464.0861,158.099911731339,46.84363185333157,43.0251332032812,1982,India
344660922.0,370724075.0,35.918,13.027,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,193490610032.1,0.691116445027745,44795842.9457746,61365822478.0086,151.87905876645,46.84363185333157,41.4191411626831,1981,India
336773402.0,362179435.0,36.167,13.29,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,186325345089.754,6.43043063055562,437107236.975471,61594472500.7475,141.707701516919,46.84363185333157,39.3833507196107,1980,India
329097301.0,353898047.0,36.401,13.577,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,152991653792.864,-4.88099037878276,189440839.978208,47857257182.8996,135.741773749241,46.84363185333157,38.7025816069271,1979,India
321629374.0,345870441.0,36.643,13.892,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,137300295308.038,2.40698513182862,-190100168.165533,45528830485.1917,135.917640666312,46.84363185333157,37.2177019408411,1978,India
314349661.0,338059105.0,36.909,14.233,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,121487322474.298,4.78993263613525,-272116788.321168,42457056541.9936,126.256733956882,46.84363185333157,38.2239786590275,1977,India
307224284.0,330405801.0,37.205,14.601,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,102717164465.894,5.22336087064193,-260675967.465849,34351671820.6672,124.123691560131,46.84363185333157,37.8503354821663,1976,India
300231625.0,322871275.0,37.528,14.994,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,98472796457.114,2.23771240479063,-294681859.153628,34730864275.353,114.558927586439,46.84363185333157,36.9354603977898,1975,India
293362996.0,315439599.0,37.866,15.408,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,99525899115.7756,-6.4496608018251,-364862831.636491,38018588193.949,103.992657915658,46.84363185333157,36.4674567926255,1974,India
286636581.0,308133555.0,38.202,15.838,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,85515269585.522,1.46255113704873,-413328246.216457,35199833920.0471,100.632154133576,46.84363185333157,35.3195829946338,1973,India
